fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_mechanized.nextrel1_IncrFirst_eq	pss_mechanized	478644	478644	1	isabelle/pss_mechanized.thy	606	false	false	false
pss_mechanized.le1_IncrFirst_eq	pss_mechanized	478658	478658	1	isabelle/pss_mechanized.thy	614	false	false	false
pss_mechanized.m_6_1_le_IncrFirst_inv	pss_mechanized	478678	478678	1	isabelle/pss_mechanized.thy	619	false	false	false
pss_mechanized.T_PS_Lng_gt1	pss_mechanized	478702	478702	1	isabelle/pss_mechanized.thy	627	false	true	false
pss_mechanized.m_6_2_not_multi_iff_le	pss_mechanized	478754	478754	1	isabelle/pss_mechanized.thy	634	false	false	false
pss_mechanized.m_6_2_multi_crit_23	pss_mechanized	478868	478868	1	isabelle/pss_mechanized.thy	663	false	true	false
pss_mechanized.m_6_2_multi_crit_12	pss_mechanized	478940	478940	1	isabelle/pss_mechanized.thy	696	false	true	false
pss_mechanized.Lng_seg	pss_mechanized	478982	478982	1	isabelle/pss_mechanized.thy	703	false	false	false
pss_mechanized.entry_seg	pss_mechanized	479150	479150	1	isabelle/pss_mechanized.thy	706	false	false	false
pss_mechanized.m_6_2_mono_ancestor_slice	pss_mechanized	479374	479374	1	isabelle/pss_mechanized.thy	720	false	false	false
pss_mechanized.m_6_2_mono_prefix	pss_mechanized	479504	479504	1	isabelle/pss_mechanized.thy	749	false	true	false
pss_mechanized.multiT_imp_Lng_gt1	pss_mechanized	479528	479528	1	isabelle/pss_mechanized.thy	766	false	true	false
pss_mechanized.P_nonempty	pss_mechanized	479566	479566	1	isabelle/pss_mechanized.thy	779	false	true	false
pss_mechanized.m_6_2_P_components_2	pss_mechanized	479644	479644	1	isabelle/pss_mechanized.thy	784	false	true	false
pss_mechanized.IncrFirst_zeroT_eq	pss_mechanized	479724	479724	1	isabelle/pss_mechanized.thy	809	false	false	false
pss_mechanized.IncrFirst_monoT_eq	pss_mechanized	479812	479812	1	isabelle/pss_mechanized.thy	818	false	false	false
pss_mechanized.IncrFirst_multiT_eq	pss_mechanized	479882	479882	1	isabelle/pss_mechanized.thy	821	false	false	false
pss_mechanized.IncrFirst_Pcut_eq	pss_mechanized	479968	479968	1	isabelle/pss_mechanized.thy	824	false	false	false
pss_mechanized.IncrFirst_take	pss_mechanized	480022	480022	1	isabelle/pss_mechanized.thy	827	false	false	false
pss_mechanized.IncrFirst_drop	pss_mechanized	480044	480044	1	isabelle/pss_mechanized.thy	830	false	false	false
pss_mechanized.m_6_2_P_IncrFirst	pss_mechanized	480108	480108	1	isabelle/pss_mechanized.thy	833	false	true	false
pss_mechanized.P_funpow_IncrFirst	pss_mechanized	480144	480144	1	isabelle/pss_mechanized.thy	865	false	true	false
pss_mechanized.drop_eq_map_nth	pss_mechanized	480246	480246	1	isabelle/pss_mechanized.thy	887	false	false	false
